Column Label,Value
1,69
1,68
1,67
1,66
1,65
1,64
1,63
1,62
1,61
1,60
2,199
2,198
2,197
2,196
2,195
2,194
2,193
2,192
2,191
2,190
2,189
2,188
2,187
2,186
2,185
2,184
2,183
2,182
2,181
2,180
3,55
3,29
3,28
3,27
3,26
3,25
3,24
3,23
3,22
3,21
3,20
3,19
3,18
3,17
3,16
3,15
3,14
3,13
3,12
3,11
3,10
4,219
4,218
4,217
4,216
4,215
4,214
4,212
4,211
4,210
4,209
4,208
4,207
4,206
4,205
4,204
4,203
4,202
4,200
5,59
5,58
5,57
5,56
5,54
5,53
5,52
5,51
5,50
5,49
5,48
5,47
5,46
5,45
5,44
5,43
5,42
5,41
5,40
5,39
5,38
5,37
5,36
5,35
5,34
5,33
5,32
5,31
5,30
6,89
6,88
6,87
6,86
6,85
6,84
6,83
6,82
6,81
6,80
6,79
6,78
6,77
6,76
6,75
6,74
6,73
6,72
6,71
6,70
7,112
7,104
7,103
7,102
7,101
7,100
8,119
8,118
8,117
8,116
8,115
8,114
8,113
8,111
8,110
8,5
9,149
9,148
9,147
9,146
9,145
9,144
9,143
9,142
9,141
9,140
9,139
9,138
9,137
9,136
9,135
9,134
9,133
9,132
9,131
9,130
9,129
9,128
9,127
9,126
9,125
9,124
9,123
9,122
9,121
9,120
9,109
9,108
9,107
9,106
9,105
10,289
10,288
10,287
10,286
10,285
10,284
10,283
10,282
10,281
10,280
10,279
10,278
10,277
10,276
10,275
10,274
10,273
10,272
10,271
10,270
11,179
11,178
11,177
11,176
11,175
11,174
11,173
11,172
11,171
11,170
11,169
11,168
11,167
11,166
11,165
11,164
11,163
11,162
11,161
11,160
11,159
11,158
11,157
11,156
11,155
11,154
11,153
11,152
11,151
11,150
12,246
12,245
12,244
12,243
12,242
12,241
12,240
12,239
12,238
12,237
12,236
12,235
12,234
12,233
12,232
12,231
12,230
12,229
12,228
12,227
12,226
12,225
12,224
12,223
12,222
12,221
12,220
12,201
13,693
13,692
13,691
13,690
13,689
13,688
13,687
13,686
13,685
13,684
13,683
13,681
13,680
13,577
13,576
13,575
13,574
13,573
13,572
13,571
13,570
13,528
13,527
13,526
13,525
13,524
13,523
13,522
13,521
13,520
13,516
13,515
13,514
13,513
13,512
13,511
13,510
13,509
13,508
13,507
13,506
13,505
13,504
13,503
13,502
13,501
13,500
14,611
14,610
14,608
14,607
14,606
14,603
14,602
14,601
14,600
15,629
15,628
15,627
15,626
15,625
15,624
15,623
15,622
15,620
15,619
15,618
15,617
15,616
15,615
15,614
15,613
15,612
15,609
15,605
15,604
16,479
16,478
16,477
16,476
16,475
16,474
16,473
16,472
16,471
16,470
16,469
16,468
16,467
16,466
16,465
16,464
16,463
16,462
16,461
16,460
17,679
17,678
17,677
17,676
17,675
17,674
17,673
17,672
17,671
17,670
17,669
17,668
17,667
17,666
17,665
17,664
17,662
17,661
17,660
17,658
17,657
17,656
17,655
17,654
17,653
17,652
17,651
17,650
17,649
17,648
17,647
17,646
17,645
17,644
17,641
17,640
17,639
17,638
17,637
17,636
17,635
17,634
17,633
17,631
17,630
18,427
18,426
18,425
18,424
18,423
18,422
18,421
18,420
18,418
18,417
18,416
18,415
18,414
18,413
18,412
18,411
18,410
18,409
18,408
18,407
18,406
18,405
18,404
18,403
18,402
18,401
18,400
18,268
18,267
18,266
18,265
18,264
18,263
18,262
18,261
18,260
18,259
18,258
18,257
18,256
18,255
18,254
18,253
18,252
18,251
18,250
18,249
18,248
18,247
19,492
19,485
19,484
19,483
19,482
19,481
19,480
20,499
20,498
20,497
20,496
20,495
20,494
20,493
20,491
20,490
20,489
20,488
20,487
20,486
21,588
21,587
21,586
21,585
21,584
21,583
21,582
21,581
21,580
21,567
21,566
21,565
21,564
21,563
21,562
21,561
21,560
21,559
21,558
21,557
21,556
21,555
21,554
21,553
21,551
21,550
22,458
22,449
22,448
22,447
22,446
22,445
22,444
22,443
22,442
22,441
22,440
22,439
22,436
22,435
22,434
23,459
23,457
23,456
23,455
23,454
23,453
23,452
23,451
23,450
23,438
23,437
23,433
23,432
23,431
23,430
24,549
24,548
24,547
24,546
24,545
24,544
24,543
24,542
24,541
24,540
24,539
24,538
24,537
24,535
24,534
24,532
24,531
24,530
25,397
25,396
25,395
25,394
25,393
25,392
25,391
25,390
25,389
25,388
25,387
25,386
25,369
25,368
25,367
25,366
25,365
25,364
25,363
25,362
25,361
25,360
25,359
25,358
25,357
25,356
25,355
25,354
25,352
25,351
25,350
26,749
26,748
26,747
26,746
26,745
26,744
26,743
26,741
26,740
26,739
26,738
26,737
26,736
26,735
26,734
26,731
26,730
26,729
26,728
26,727
26,726
26,725
26,724
26,723
26,722
26,721
26,720
26,719
26,718
26,717
26,716
27,344
27,327
27,326
27,325
27,324
27,323
27,322
27,321
27,320
28,347
28,346
28,342
28,341
28,339
28,338
28,337
28,336
28,335
28,329
28,328
29,349
29,334
29,333
29,332
29,331
29,330
30,399
30,398
30,319
30,318
30,317
30,316
30,315
30,314
30,313
30,312
30,311
30,310
30,309
30,308
30,307
30,306
30,305
30,304
30,303
30,302
30,301
30,300
31,714
31,713
31,712
31,711
31,710
31,708
31,707
31,706
31,705
31,704
31,703
31,701
31,700
32,9
32,8
32,7
32,6
33,299
33,298
33,297
33,296
33,295
33,294
33,293
33,292
33,291
33,290
34,385
34,384
34,383
34,382
34,381
34,380
34,379
34,378
34,377
34,376
34,375
34,374
34,373
34,372
34,371
34,370
35,767
35,766
35,764
35,763
35,762
35,761
35,760
35,759
35,758
35,757
35,756
35,755
35,754
35,753
35,752
35,751
35,750
36,785
36,784
36,783
36,779
36,778
36,777
36,776
36,775
36,774
36,773
36,772
36,770
37,885
37,799
37,798
37,797
37,796
37,795
37,794
37,793
37,792
37,791
37,790
37,789
37,788
37,787
37,786
37,782
37,781
37,780
37,769
37,768
37,765
37,733
38,999
38,998
38,997
38,996
38,995
39,884
39,883
39,882
39,881
39,880
39,879
39,878
39,877
39,876
39,875
39,874
39,873
39,871
39,870
39,865
39,864
39,863
39,860
39,859
39,857
39,856
39,855
39,853
39,852
39,851
39,850
40,960
40,959
40,955
40,954
40,951
40,950
40,949
40,944
40,943
40,941
40,940
41,961
41,958
41,957
41,956
41,952
41,948
41,947
41,946
41,945
41,942
42,953
42,939
42,938
42,937
42,936
42,935
42,934
42,933
42,932
42,931
42,930
42,916
42,915
42,914
42,913
43,928
43,927
43,926
43,918
43,917
43,912
43,911
43,910
44,908
44,907
44,906
44,905
44,904
44,903
44,902
44,901
44,900
45,925
45,924
45,923
45,922
45,921
45,920
45,919
46,831
46,830
46,829
46,828
46,827
46,826
46,825
46,824
46,823
46,822
46,821
46,820
46,816
46,815
46,814
46,813
46,812
46,811
46,810
46,809
46,808
46,807
46,806
46,805
46,804
46,803
46,802
46,801
46,800
47,969
47,968
47,967
48,979
48,978
48,977
48,976
48,975
48,974
48,973
48,972
48,971
48,970
48,838
48,837
48,836
48,835
48,834
48,833
48,832
48,599
48,598
48,597
48,596
48,595
48,594
48,593
48,592
48,591
48,590
49,898
49,897
49,895
49,894
49,893
49,891
49,890
49,889
49,847
49,846
49,845
49,844
49,843
49,842
49,841
49,840
50,994
50,993
50,992
50,991
50,990
50,989
50,988
50,986
50,985
50,984
50,983
50,982
50,981
50,980
0,0
99999,99999
